Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type

1,US,1,2023,54,U,false,JMC,JANUARY,2023,Lecture 10
1,US,1,2023,54,U,false,PYC,FEBRUARY,2024,Lecture 14
2,US,7,2018,72,M,true,JMC,JUNE,2019,Lecture 7
2,US,7,2018,72,M,true,PYC,JANUARY,2022,Lecture 2
3,GB,8,2018,68,F,true,JMC,AUGUST,2018,Lecture 3
3,GB,8,2018,68,F,true,PYC,NOVEMBER,2023,Lecture 2
4,IN,7,2017,69,M,false,JMC,DECEMBER,2017,Lecture 14
4,IN,7,2017,69,M,false,PYC,MAY,2021,Lecture 8
5,GB,9,2019,87,U,true,JMC,AUGUST,2022,Lecture 9
5,GB,9,2019,87,U,true,PYC,MAY,2022,Lecture 12
6,CN,5,2015,85,F,true,JMC,FEBRUARY,2016,Lecture 3
6,CN,5,2015,85,F,true,PYC,AUGUST,2015,Lecture 14
7,GB,1,2019,66,M,false,JMC,AUGUST,2024,Lecture 8
7,GB,1,2019,66,M,false,PYC,APRIL,2022,Lecture 12
8,US,12,2022,24,M,false,JMC,JANUARY,2024,Lecture 2
8,US,12,2022,24,M,false,PYC,DECEMBER,2022,Lecture 3
9,IN,8,2016,59,M,true,JMC,MARCH,2024,Lecture 9
9,IN,8,2016,59,M,true,PYC,MARCH,2022,Lecture 13
10,IN,1,2019,25,F,false,JMC,DECEMBER,2021,Lecture 4
10,IN,1,2019,25,F,false,PYC,FEBRUARY,2020,Lecture 10
11,CN,3,2017,18,F,true,JMC,DECEMBER,2017,Lecture 7
11,CN,3,2017,18,F,true,PYC,JULY,2023,Lecture 1
12,US,3,2017,81,F,false,JMC,AUGUST,2018,Lecture 9
12,US,3,2017,81,F,false,PYC,MARCH,2018,Lecture 14
13,US,5,2018,21,M,false,JMC,MAY,2020,Lecture 5
13,US,5,2018,21,M,false,PYC,SEPTEMBER,2022,Lecture 7
14,CN,3,2016,44,M,false,JMC,FEBRUARY,2017,Lecture 7
14,CN,3,2016,44,M,false,PYC,APRIL,2018,Lecture 5
15,IN,1,2018,60,M,true,JMC,JUNE,2019,Lecture 10
15,IN,1,2018,60,M,true,PYC,NOVEMBER,2021,Lecture 10
16,IN,4,2021,18,F,true,JMC,JULY,2022,Lecture 1
16,IN,4,2021,18,F,true,PYC,OCTOBER,2023,Lecture 12
17,CN,4,2016,43,F,true,JMC,JULY,2018,Lecture 3
17,CN,4,2016,43,F,true,PYC,SEPTEMBER,2016,Lecture 12
18,CN,10,2022,52,U,true,JMC,DECEMBER,2024,Lecture 11
18,CN,10,2022,52,U,true,PYC,JUNE,2022,Lecture 14
19,GB,2,2024,19,M,false,JMC,MAY,2024,Lecture 3
19,GB,2,2024,19,M,false,PYC,JULY,2024,Lecture 12
20,IN,4,2017,39,F,true,JMC,JANUARY,2022,Lecture 14
20,IN,4,2017,39,F,true,PYC,FEBRUARY,2022,Lecture 1
21,US,4,2018,36,F,true,JMC,JUNE,2023,Lecture 6
21,US,4,2018,36,F,true,PYC,SEPTEMBER,2018,Lecture 3
22,CN,9,2020,47,M,false,JMC,FEBRUARY,2020,Lecture 13
22,CN,9,2020,47,M,false,PYC,MARCH,2021,Lecture 4
23,AU,3,2017,55,U,false,JMC,SEPTEMBER,2017,Lecture 9
23,AU,3,2017,55,U,false,PYC,SEPTEMBER,2023,Lecture 4
24,GB,8,2015,72,F,false,JMC,MARCH,2020,Lecture 9
24,GB,8,2015,72,F,false,PYC,APRIL,2019,Lecture 8
25,US,12,2017,41,F,true,JMC,MAY,2019,Lecture 1
25,US,12,2017,41,F,true,PYC,SEPTEMBER,2021,Lecture 11
